issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010767,523,5,2,3,10.0,Small,Even,,20260818101010767
20260818101010766,216,2,1,6,9.0,Small,Odd,,20260818101010766
20260818101010673,342,3,4,2,9.0,Small,Odd,,20260818101010673
20260818101010672,444,4,4,4,12.0,Big,Even,,20260818101010672
20260818101010671,553,5,5,3,13.0,Big,Odd,,20260818101010671
20260818101010670,143,1,4,3,8.0,Small,Even,,20260818101010670
20260818101010669,352,3,5,2,10.0,Small,Even,,20260818101010669
20260818101010668,122,1,2,2,5.0,Small,Odd,,20260818101010668
20260818101010667,346,3,4,6,13.0,Big,Odd,,20260818101010667
20260818101010666,126,1,2,6,9.0,Small,Odd,,20260818101010666
20260818101010665,133,1,3,3,7.0,Small,Odd,,20260818101010665
20260818101010664,134,1,3,4,8.0,Small,Even,,20260818101010664
20260818101010663,512,5,1,2,8.0,Small,Even,,20260818101010663
20260818101010662,353,3,5,3,11.0,Big,Odd,,20260818101010662
20260818101010661,433,4,3,3,10.0,Small,Even,,20260818101010661
20260818101010660,425,4,2,5,11.0,Big,Odd,,20260818101010660
20260818101010659,366,3,6,6,15.0,Big,Odd,,20260818101010659
20260818101010658,145,1,4,5,10.0,Small,Even,,20260818101010658
20260818101010657,641,6,4,1,11.0,Big,Odd,,20260818101010657
20260818101010656,242,2,4,2,8.0,Small,Even,,20260818101010656
20260818101010655,321,3,2,1,6.0,Small,Even,,20260818101010655
20260818101010654,361,3,6,1,10.0,Small,Even,,20260818101010654
20260818101010653,446,4,4,6,14.0,Big,Even,,20260818101010653
20260818101010652,234,2,3,4,9.0,Small,Odd,,20260818101010652
20260818101010651,563,5,6,3,14.0,Big,Even,,20260818101010651
20260818101010650,145,1,4,5,10.0,Small,Even,,20260818101010650
20260818101010649,634,6,3,4,13.0,Big,Odd,,20260818101010649
20260818101010648,424,4,2,4,10.0,Small,Even,,20260818101010648
20260818101010647,152,1,5,2,8.0,Small,Even,,20260818101010647
20260818101010646,663,6,6,3,15.0,Big,Odd,,20260818101010646
20260818101010645,115,1,1,5,7.0,Small,Odd,,20260818101010645
20260818101010644,553,5,5,3,13.0,Big,Odd,,20260818101010644
20260818101010643,666,6,6,6,18.0,Big,Even,,20260818101010643
20260818101010642,161,1,6,1,8.0,Small,Even,,20260818101010642
20260818101010641,424,4,2,4,10.0,Small,Even,,20260818101010641
20260818101010640,364,3,6,4,13.0,Big,Odd,,20260818101010640
20260818101010639,621,6,2,1,9.0,Small,Odd,,20260818101010639
20260818101010638,142,1,4,2,7.0,Small,Odd,,20260818101010638
